v2ProductName,canonical_category,row_count
Google Infant Short Sleeve Tee Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,106
Google Infant Short Sleeve Tee White,Home/Apparel/Kid's/Kid's-Infant/,686
Google Infant Zip Hood Pink,Home/Apparel/Kid's/Kid's-Infant/,1292
Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,1359
Google Infuser-Top Water Bottle,Home/Drinkware/,1048
Google Insulated Stainless Steel Bottle,Home/Drinkware/Water Bottles and Tumblers/,2012
Google Kick Ball,Home/Accessories/Fun/,2392
Google Laptop Backpack,Home/Bags/Backpacks/,6933
Google Laptop Tech Backpack,Home/Bags/Backpacks/,4742
Google Laptop and Cell Phone Stickers,Home/Accessories/Stickers/,10058
Google Leather Journal,Home/Office/Notebooks & Journals/,211
Google Leather Journal (Black),Office,8
Google Leather Journal-Black,Notebooks & Journals,236
Google Leather Journal-Brown,Notebooks & Journals,234
Google Leather Perforated Journal,Notebooks & Journals,259
Google Long Sleeve Raglan Badge Henley Ocean Blue,Home/Apparel/Men's/Men's-T-Shirts/,1038
Google Luggage Tag,Home/Accessories/Fun/,623
Google Lunch Bag,Home/Bags/,1509
Google Magnetic Mini Flood Flashlight,Home/Electronics/Flashlights/,7
Google Men's  Zip Hoodie,Home/Apparel/Men's/Men's-Outerwear/,12908
Google Men's 100% Cotton Short Sleeve Hero Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,8112
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,6589
Google Men's 100% Cotton Short Sleeve Hero Tee Red,Home/Apparel/Men's/Men's-T-Shirts/,3477
Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,19727
Google Men's 3/4 Sleeve Raglan Henley Grey,Apparel,622
Google Men's Airflow 1/4 Zip Pullover Black,Home/Apparel/Men's/Men's-Performance Wear/,623
Google Men's Airflow 1/4 Zip Pullover Lapis,Home/Apparel/Men's/Men's-Performance Wear/,404
Google Men's Around The Block Short Sleeve Tee Ash,Apparel,401
Google Men's Bayside Graphic Tee,Home/Apparel/Men's/Men's-T-Shirts/,798
Google Men's Bike Short Sleeve Tee Charcoal,Apparel,2110
Google Men's Colorblock Tee White/Heather,Apparel,159
Google Men's Convertible Vest-Jacket Pewter,Home/Apparel/Men's/Men's-Outerwear/,1096
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,Home/Apparel/Men's/Men's-T-Shirts/,240
Google Men's Heavyweight Long Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,503
Google Men's Lightweight Microfleece Jacket Black,Home/Apparel/Men's/Men's-Outerwear/,3490
Google Men's Long & Lean Tee Charcoal,Apparel,553
Google Men's Long & Lean Tee Grey,Apparel,150
Google Men's Long Sleeve Baseball Raglan Cranberry,Home/Apparel/Men's/Men's-T-Shirts/,99
Google Men's Long Sleeve Pullover Badge Tee Heather,Apparel,405
Google Men's Long Sleeve Pullover Crew Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,173
Google Men's Long Sleeve Raglan Cranberry,Apparel,207
Google Men's Long Sleeve Raglan Ocean Blue,Home/Apparel/Men's/Men's-T-Shirts/,3302
